name,code
삼성전자,005930
현대차,005380
SK하이닉스,000660
LG에너지솔루션,373220
삼성바이오로직스,207940
기아,000270
셀트리온,068270
KB금융,105560
신한지주,055550
NAVER,035420
카카오,035720
POSCO홀딩스,005490
현대모비스,012330
LG화학,051910
삼성물산,028260
하나금융지주,086790
삼성생명,032830
메리츠금융지주,138040
SK이노베이션,096770
삼성화재,000810
KT&G,033780
우리금융지주,316140
기업은행,024110
HMM,011200
한국전력,015760
삼성에스디에스,018260
대한항공,003490
두산에너빌리티,034020
포스코퓨처엠,003670
에코프로,086520
에코프로비엠,247540
HLB,028300
알테오젠,196170
HPSP,403870
엔켐,348370
리노공업,058470
레인보우로보틱스,277810
펄어비스,263750
카카오게임즈,293490
